,head_cui,head,relation_label,tail_cui,tail,rel_type,rela_raw,sab,has_named_rel,linearised
35959,C2721746,Lipodystrophy (SMQ),has member,C0362046,Prediabetes syndrome,RO,has_member,MDRPOR,True,Lipodystrophy (SMQ) has member Prediabetes syndrome.
35960,C1869043,Hyperglycaemia/new onset diabetes mellitus (SMQ),has member,C0362046,Prediabetes syndrome,RO,has_member,MDRCZE,True,Hyperglycaemia/new onset diabetes mellitus (SMQ) has member Prediabetes syndrome.
35961,C2721746,Lipodystrophy (SMQ),has member,C0362046,Prediabetes syndrome,RO,has_member,MDRCZE,True,Lipodystrophy (SMQ) has member Prediabetes syndrome.
35962,C5818192,Prediabetes in mother during pregnancy,isa,C0362046,Prediabetes syndrome,CHD,isa,SNOMEDCT_US,True,Prediabetes in mother during pregnancy isa Prediabetes syndrome.
35963,C0342242,Disorder of glucose regulation,inverse isa,C0362046,Prediabetes syndrome,PAR,inverse_isa,SNOMEDCT_US,True,Disorder of glucose regulation inverse isa Prediabetes syndrome.
35964,C0559306,Endocrine finding,inverse isa,C0362046,Prediabetes syndrome,PAR,inverse_isa,SNOMEDCT_US,True,Endocrine finding inverse isa Prediabetes syndrome.
35965,C0159069,Glucose Tolerance Test Abnormal,mapped from,C0362046,Prediabetes syndrome,RO,mapped_from,SNOMEDCT_US,True,Glucose Tolerance Test Abnormal mapped from Prediabetes syndrome.
35966,C0362046,Prediabetes syndrome,replaced by,C0362046,Prediabetes syndrome,RO,replaced_by,SNOMEDCT_US,True,Prediabetes syndrome replaced by Prediabetes syndrome.
35967,C1286097,Endocrine observable,is interpreted by,C0362046,Prediabetes syndrome,RO,is_interpreted_by,SNOMEDCT_US,True,Endocrine observable is interpreted by Prediabetes syndrome.
35968,C5389780,digital therapeutics for pre-diabetes,has focus,C0362046,Prediabetes syndrome,RO,has_focus,MEDCIN,True,digital therapeutics for pre-diabetes has focus Prediabetes syndrome.
35969,C5818192,Prediabetes in mother during pregnancy,isa,C0362046,Prediabetes syndrome,CHD,isa,SCTSPA,True,Prediabetes in mother during pregnancy isa Prediabetes syndrome.
35970,C0342242,Disorder of glucose regulation,inverse isa,C0362046,Prediabetes syndrome,PAR,inverse_isa,SCTSPA,True,Disorder of glucose regulation inverse isa Prediabetes syndrome.
35971,C0559306,Endocrine finding,inverse isa,C0362046,Prediabetes syndrome,PAR,inverse_isa,SCTSPA,True,Endocrine finding inverse isa Prediabetes syndrome.
35972,C1286097,Endocrine observable,is interpreted by,C0362046,Prediabetes syndrome,RO,is_interpreted_by,SCTSPA,True,Endocrine observable is interpreted by Prediabetes syndrome.
35973,C0580546,Blood glucose outside reference range,is parent of,C0362046,Prediabetes syndrome,PAR,,ICD10CM,False,Prediabetes syndrome is a type of Blood glucose outside reference range.
35974,C0271665,"Pregestational diabetes mellitus AND/OR impaired glucose tolerance, modified White class A",isa,C0362046,Prediabetes syndrome,CHD,isa,MEDCIN,True,"Pregestational diabetes mellitus AND/OR impaired glucose tolerance, modified White class A isa Prediabetes syndrome."
35975,C0271671,"Pregestational diabetes mellitus AND/OR impaired glucose tolerance, modified White class FR",isa,C0362046,Prediabetes syndrome,CHD,isa,MEDCIN,True,"Pregestational diabetes mellitus AND/OR impaired glucose tolerance, modified White class FR isa Prediabetes syndrome."
35976,C0271650,Impaired glucose tolerance (disorder),inverse isa,C0362046,Prediabetes syndrome,PAR,inverse_isa,MEDCIN,True,Impaired glucose tolerance (disorder) inverse isa Prediabetes syndrome.
35977,C0011849,Diabetes Mellitus,is parent of,C0362046,Prediabetes syndrome,PAR,,MSHSCR,False,Prediabetes syndrome is a type of Diabetes Mellitus.
35978,C0362046,Prediabetes syndrome,related to,C0011849,Diabetes Mellitus,RO,,MSHSCR,False,Prediabetes syndrome is related to Diabetes Mellitus.
35979,C0362046,Prediabetes syndrome,related to,C0020456,Hyperglycemia,RO,,MSHSCR,False,Prediabetes syndrome is related to Hyperglycemia.
35980,C1869043,Hyperglycaemia/new onset diabetes mellitus (SMQ),has member,C0362046,Prediabetes syndrome,RO,has_member,MDRRUS,True,Hyperglycaemia/new onset diabetes mellitus (SMQ) has member Prediabetes syndrome.
